"ID","Corr","Pval","Corr1","Pval1","Corr2","Pval2","Beta-mean1","Beta-mean2","Beta.KW.test.Pval","Beta.Sig","Zscore-mean1","Zscore-mean2","Zscore.KW.test.Pval","Zscore.Sig"
"ZNF345",-0.658605755453594,2.94833851611855e-62,-0.682381754171131,0,-0.641751424233625,5.16777127414297e-42,0.196440679017857,0.157390405182143,0.0270440160948601,"*",-0.246147314550122,0.0984589258200491,0.000298031611399662,"***"
"ZNF354C",-0.760001992035796,2.24864799664872e-93,-0.78597317571626,1.30491909087262e-30,-0.745811596996731,2.30072901600463e-63,0.193495221684524,0.17068203142381,0.597069040088494,"",-0.176157847690837,0.0704631390763346,0.0142318802504336,"*"
"ZNF418",-0.522122563759447,1.28334048752063e-35,-0.415301251452419,3.35695313850448e-07,-0.54115814630262,5.1209203266742e-28,0.494096861517857,0.454513952107143,0.00838803572749531,"**",-0.210666870584341,0.0842667482337363,6.1995529440596e-05,"***"
"ZNF420",-0.747109444020533,1.33379461538194e-88,-0.783422150014228,2.68653313859515e-30,-0.72751607524008,6.73997512090499e-59,0.192324385005952,0.162121806290476,0.105435767395024,"",-0.185275614865351,0.0741102459461402,0.00867154369265251,"**"
"ZNF433",-0.71266136205077,3.69622911531532e-77,-0.717298987557674,0,-0.70817769641817,1.48196305119342e-54,0.166268480160714,0.176467881752381,0.18182880831104,"",0.0111688486875108,-0.00446753947500462,0.669179154657813,""
"ZNF442",-0.423391708003627,9.83772090208178e-23,-0.39226345367475,2.00293326006386e-06,-0.44177021333531,3.75009423634777e-18,0.0954438622619048,0.116036890761905,0.077641323699646,"",0.00363237223308263,-0.00145294889323318,0.946788979666385,""
"ZNF470",-0.712260368569484,4.90870956778958e-77,-0.676898249435415,4.29013472835097e-20,-0.718419597041511,8.2529739975486e-57,0.347212092232143,0.296917637535714,0.0115878788478544,"*",-0.231996011140796,0.0927984044563184,0.000166339102785819,"***"
"ZNF471",-0.704613917166884,1.0013379159649e-74,-0.510310292799195,1.41989377356856e-10,-0.742617784517828,1.47539209591566e-62,0.44615729255102,0.370880738897959,4.51150256939329e-05,"***",-0.398008939019736,0.159203575607895,7.91166658441188e-09,"***"
"ZNF493",-0.656110610722195,1.21156297904028e-61,-0.64773129824408,0,-0.678090204949224,1.82690981503459e-48,0.169889318839286,0.184558561428571,0.629800069061233,"",-0.246904951466235,0.0987619805864938,0.000504074136141075,"***"
"ZNF527",-0.181848642365542,5.14549279613144e-05,-0.215468954832687,0.010566691300491,-0.176221864388207,0.000929754167983036,0.0667993721964286,0.0673092803,0.561320142754867,"",-0.107262682162296,0.0429050728649189,0.295099515208569,""
"ZNF528",-0.781917445620585,3.190512658837e-102,-0.81360565043406,0,-0.76861254459287,1.68846693273443e-69,0.226345895059524,0.223812424404762,0.97943462336866,"",0.0196998948448235,-0.00787995793792915,0.760293493727231,""
"ZNF563",-0.513885960673996,2.24413201273857e-34,-0.471880579523803,3.970757252298e-09,-0.53322002624632,4.18377276364167e-27,0.0812943447714286,0.10858564856,0.416488593531999,"",0.0709918700318996,-0.0283967480127599,0.300506851132993,""
"ZNF566",-0.379640445517641,3.0263132025121e-18,-0.335659625834258,5.02987155014847e-05,-0.389840644851726,3.76984494334537e-14,0.0880706101263736,0.0935521356285714,0.820380265903699,"",-0.170801732637957,0.0683206930551828,0.00177951624058666,"**"
"ZNF567",-0.278757617907851,3.39220480089925e-10,-0.265483513336257,0.00152350703671391,-0.287716529339578,4.25984602173129e-08,0.108526377142857,0.104904122571429,0.336633392245389,"",-0.00975797606894404,0.00390319042757745,0.601486389980666,""
"ZNF568",-0.698682655179201,5.51545077300713e-73,-0.709729406452728,9.60538844520212e-23,-0.69309848295575,2.07610818402643e-51,0.367114412333333,0.336712794838095,0.189574339202039,"",-0.174930246722845,0.069972098689138,0.000863219815809347,"***"
"ZNF569",-0.74278677390007,4.58235806369836e-87,-0.755758675734185,0,-0.739258595100702,1.0113980990661e-61,0.212540859107143,0.204274166642857,0.939482174607847,"",-0.0793345759742702,0.0317338303897082,0.30232386246604,""
"ZNF570",-0.76543395111361,1.77595783427897e-95,-0.826396565127613,3.10585279565303e-36,-0.736018865421464,6.29595627542456e-61,0.258264636279221,0.237851312233766,0.181136484542297,"",-0.132216007583767,0.0528864030335067,0.0687084283942981,""
"ZNF572",-0.47982244868674,1.39845791576888e-29,-0.42602220159458,1.53898213761518e-07,-0.487969389451596,2.44010415370973e-22,0.0957620232142857,0.120199271,2.55093722856691e-05,"***",0.150252566173284,-0.0601010264693136,0.0275618378033095,"*"
"ZNF573",-0.407890594484052,4.56585811188616e-21,-0.452170300233977,2.95384590049411e-08,-0.389886269795134,3.74200438502029e-14,0.111803345142857,0.1193322644,0.375629848744169,"",-0.0469128150224184,0.0187651260089674,0.632310590202778,""
"ZNF600",-0.410992561611437,2.15238389093717e-21,-0.524917452056592,4.69314406227028e-12,-0.361006391052891,3.26185930005043e-12,0.20034873,0.1817662835,0.302655184421889,"",-0.0637807542939856,0.0255123017175939,0.413255293349003,""
"ZNF607",-0.743223742522698,3.21531907670112e-87,-0.693485819247338,0,-0.760192673427962,3.73727709535088e-67,0.198052015306122,0.199557773959184,0.658157182207165,"",-0.0370550334369665,0.0148220133747863,0.857635532861296,""
"ZNF613",-0.518548542048589,4.48487165772147e-35,-0.426448608655881,1.49113784106725e-07,-0.549720565473069,4.98718098726156e-29,0.113068455714286,0.112191722095238,0.73647651622214,"",0.045017726447946,-0.0180070905791784,0.173649493024012,""
"ZNF649",-0.476342403452238,4.03494452552804e-29,-0.494914275780703,5.10865408210577e-10,-0.466158822530825,2.77422289144363e-20,0.129740177142857,0.114016539904762,0.813248753076069,"",-0.0385524866497352,0.0154209946598937,0.913672199580693,""
"ZNF665",-0.686844096923331,1.23462886649238e-69,-0.643725262950734,0,-0.698522755730518,1.61462979576082e-52,0.449267527285714,0.428003371885714,0.218464327206334,"",-0.0630693906103173,0.0252277562441269,0.116586445025527,""
"ZNF675",-0.575458492158218,1.4980960797342e-44,-0.584060230611334,3.60000322587615e-14,-0.575438955432611,3.00488252249863e-32,0.151382177321429,0.155795484142857,0.845730446118131,"",0.0451842596568375,-0.018073703862735,0.354691929479437,""
"ZNF681",-0.73483365851812,2.55839991903003e-84,-0.74446080827143,5.57318838032884e-26,-0.730473983644046,1.3533158029158e-59,0.228470294285714,0.244378567142857,0.25068048757863,"",-0.000504148787971875,0.000201659515188611,0.893535145042783,""
"ZNF772",-0.630654486857207,1.06245331999104e-55,-0.572791512094449,1.41755245791029e-13,-0.652032929686766,9.50163231206338e-44,0.114725818253968,0.147015927428571,0.0619094922915367,"",0.159582884864476,-0.0638331539457905,0.0614178621131643,""
"ZNF793",-0.796998829283745,6.23517441148298e-109,-0.792858236207387,0,-0.794980528697261,1.54349943626225e-77,0.235825638516484,0.21410757167033,0.284481796831031,"",-0.0807225434485666,0.0322890173794265,0.151970314455209,""
"ZNF808",-0.628456589577865,3.26293031449164e-55,-0.698430712679686,8.60800225156299e-22,-0.606679950980892,1.45647676116231e-36,0.321233426298701,0.293816062179221,0.00494678156277017,"**",-0.0630835422569951,0.0252334169027977,0.986194995027164,""
"ZNF829",-0.643305004875562,1.39171888016569e-58,-0.634361811462684,0,-0.651352341731129,1.24384241753803e-43,0.294707417928571,0.275124277342857,0.267061537088464,"",-0.163255231098751,0.0653020924395006,0.00120027850861209,"**"
"ZNF878",-0.667617881840195,1.59598140188246e-64,-0.641866567536245,0,-0.677106902132752,2.8088080107302e-48,0.203393855535714,0.220727585,0.338768666352088,"",0.0633058258286263,-0.0253223303314504,0.314902723795156,""
"ZNF879",-0.761056506216594,8.87489859889161e-94,-0.744457248820412,5.57778803593494e-26,-0.760315204461044,3.46038800818898e-67,0.21473562244898,0.196408608163265,0.0504734545922368,"",-0.233477854962203,0.0933911419848811,0.00101446235859433,"**"
"ZNF91",-0.640958333601121,4.8816053453774e-58,-0.671242701887123,0,-0.630182207019475,3.87682311041006e-40,0.143897238571429,0.149958454285714,0.808867773391876,"",-0.10117933742339,0.0404717349693555,0.261321187799085,""
"ZYG11A",-0.61749128197518,7.71564480756555e-53,-0.527366556602742,0,-0.63544154660912,5.57098741854661e-41,0.436960642857143,0.332404580714286,2.76342745673656e-06,"***",-0.252113976142043,0.100845590456817,0.0017752594224496,"**"
